NAME,QUARTER,Valuation price
ASTRA SUITES,20161,810400
ASTRA SUITES,20162,370950
ASTRA SUITES,20163,386000
ASTRA SUITES,20164,855000
ASTRA SUITES,20171,375800
ASTRA SUITES,20173,720300
ASTRA SUITES,20174,375800
ASTRA SUITES,20181,375400
ASTRA SUITES,20182,578500
ASTRA SUITES,20183,855000
ASTRA SUITES,20184,534000
FLAT JALAN AMAN,20161,150000
FLAT JALAN AMAN,20162,150000
FLAT JALAN AMAN,20163,118000
FLAT JALAN AMAN,20164,155000
FLAT JALAN AMAN,20173,175000
FLAT JALAN AMAN,20174,100000
FLAT JALAN AMAN,20184,150000
FLAT JALAN AMAN,20191,130000
FLAT JALAN AMAN,20192,100000
HARBOURVIEW,20161,1762500
HARBOURVIEW,20162,850000
HARBOURVIEW,20163,850000
HARBOURVIEW,20164,860000
HARBOURVIEW,20172,1400000
HARBOURVIEW,20181,1080000
HARBOURVIEW,20182,1757500
HARBOURVIEW,20183,1065000
